round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
2,Hellas Verona,Inter,1,3,,,43,57,8,15,1,7,5,5,2,3,6,4,1,0,13,12,2,2,0,0,11,13,16,21,7,8,1,2,0,1,0,1,0,1,6,9,2,6,4,0,341,446,258,355,20,24,6,8,9,8,139,128,45,63,16,16,9,26,14,10,18,4
2,Atalanta,Bologna,0,0,,,59,41,22,4,3,1,9,2,10,1,5,5,2,0,11,14,2,5,0,0,11,10,19,24,2,14,0,1,0,1,,,,,12,3,10,1,1,3,546,373,443,260,34,23,4,3,14,15,164,154,66,58,30,13,12,21,9,14,11,25
2,Lazio,Spezia,6,1,,,61,39,18,5,10,2,3,2,5,1,4,2,1,0,12,9,0,2,0,1,9,12,9,22,6,5,4,1,1,0,,,,,11,2,7,3,1,4,695,429,632,350,20,21,3,0,8,9,83,106,36,28,8,2,12,5,7,6,6,8
2,Fiorentina,Torino,2,1,,,58,42,9,5,6,1,2,2,1,2,3,3,3,2,13,28,4,5,0,0,26,12,24,15,4,6,,,,,3,0,2,0,6,5,3,0,0,4,416,306,338,220,50,21,4,4,2,6,126,128,63,44,23,16,12,10,6,13,14,13
2,Juventus,Empoli,0,1,,,55,45,18,11,5,3,9,3,4,5,8,9,1,3,10,6,2,3,0,0,6,10,22,29,7,17,1,1,1,0,1,0,1,0,10,8,8,3,3,5,412,342,346,259,47,27,6,4,11,7,141,146,49,46,18,12,14,17,11,5,25,26
2,Genoa,Napoli,1,2,,,39,61,6,13,3,8,2,3,1,2,4,5,3,2,17,15,2,3,0,0,15,17,19,22,4,6,1,2,1,2,,,,,4,8,2,5,6,2,358,581,280,498,21,31,4,2,13,14,138,131,56,64,10,11,18,23,19,13,11,11
2,Sassuolo,Sampdoria,0,0,,,63,37,19,11,5,2,10,6,4,3,8,6,0,3,8,14,2,2,0,0,13,7,23,19,10,11,1,0,1,0,2,0,2,0,10,5,9,6,2,5,582,329,489,236,30,22,4,3,16,5,143,144,46,47,7,14,10,21,9,13,16,16
2,Milan,Cagliari,4,1,,,57,43,18,7,5,2,5,3,8,2,8,3,1,0,13,11,1,5,0,0,10,12,15,13,6,11,4,0,2,0,2,0,1,0,10,6,8,1,1,1,517,392,464,337,29,25,7,5,8,6,99,91,35,44,11,14,6,12,6,4,11,12
2,Salernitana,Roma,0,4,,,20,80,5,28,0,9,4,8,1,11,1,10,2,3,12,11,2,2,0,0,10,12,16,12,11,7,0,1,,,0,1,0,1,4,18,1,10,5,0,172,714,89,637,12,35,3,8,2,5,116,123,40,40,15,17,13,6,11,8,28,11
3,Empoli,Venezia,1,2,,,68,32,22,10,6,3,8,6,8,1,8,2,3,1,12,21,2,5,0,0,21,11,40,18,6,10,2,4,1,3,0,3,0,2,12,9,10,1,1,5,532,256,449,185,33,26,7,3,13,5,153,123,61,55,11,20,16,19,9,7,9,35
