number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
183,Cagliari,Milan,0,2,45,55,17,10,2,6,8,2,7,2,7,4,0,4,9,13,2,3,0,1,12,9,,,2,12,1,3,1,1,0,1,0,1,,,12,7,5,3,4,2,412,542,345,473,26,37,9,3,7,7,,,46,49,15,18,12,16,11,17,,
185,Roma,Spezia,4,3,48,52,14,6,7,3,5,3,2,0,3,1,2,4,12,13,3,1,0,0,13,12,,,5,6,5,2,2,0,,,3,0,,,11,6,3,0,0,3,456,503,374,410,16,45,2,1,14,10,,,41,43,8,8,6,13,20,11,,
190,Genoa,Cagliari,1,0,41,59,11,14,5,4,4,7,2,3,4,7,3,0,11,6,1,2,0,0,5,9,,,15,7,2,1,2,1,0,1,3,0,,,9,9,2,5,4,4,424,592,323,496,25,36,3,4,3,18,,,35,64,10,20,17,17,14,9,,
177,Sampdoria,Udinese,2,1,54,46,15,15,6,4,2,5,7,6,11,5,3,4,8,11,1,1,0,0,10,8,,,6,4,1,4,0,3,0,1,1,0,,,9,11,6,4,4,4,456,390,386,311,32,17,4,4,10,13,,,49,49,17,15,12,13,10,13,,
184,Benevento,Torino,2,2,38,62,10,16,3,5,7,7,0,4,6,4,0,3,18,22,1,3,0,0,21,17,,,9,6,2,3,1,1,,,,,,,7,11,3,5,3,1,280,459,196,376,19,26,5,9,12,9,,,55,68,17,23,7,20,11,10,,
179,Crotone,Benevento,4,1,40,60,9,22,3,5,3,12,3,5,4,13,0,2,14,14,1,4,0,1,14,13,,,7,7,3,3,1,3,,,1,0,,,5,17,4,5,4,0,321,459,238,374,21,28,3,12,8,7,,,58,47,16,15,20,13,5,9,,
189,Juventus,Bologna,2,0,53,47,23,11,11,2,7,6,5,3,7,6,2,0,11,17,3,2,0,0,17,10,,,7,10,6,0,5,0,,,4,0,,,14,7,9,4,3,9,479,427,414,370,27,31,5,3,13,9,,,45,43,8,7,8,17,11,11,,
191,Hellas Verona,Napoli,3,1,49,51,14,12,7,2,3,6,4,4,3,3,2,1,13,7,2,3,0,0,7,13,,,14,5,4,1,1,0,,,,,,,8,8,6,4,1,4,430,460,336,361,27,25,2,1,14,4,,,49,45,13,13,16,15,16,10,,
182,Inter,Juventus,2,0,49,51,17,9,5,4,8,2,4,3,3,4,0,3,8,14,2,2,0,0,14,8,,,7,8,2,0,1,0,,,2,0,,,7,5,10,4,4,3,520,525,458,475,30,28,2,6,10,10,,,37,39,6,14,7,7,6,8,,
187,Udinese,Inter,0,0,39,61,6,10,1,4,4,3,1,3,3,4,0,1,11,16,3,2,0,0,12,10,,,9,4,0,1,0,1,,,,,,,3,4,3,6,4,1,417,644,344,563,22,24,1,1,8,4,,,37,41,12,14,6,13,20,7,,
192,Lazio,Sassuolo,2,1,49,51,20,5,6,1,8,3,6,1,9,6,1,0,16,15,2,3,0,0,15,16,,,7,8,3,1,1,0,,,2,0,,,12,4,8,1,0,4,460,492,403,420,41,21,6,2,5,13,,,51,58,16,11,16,19,9,6,,
186,Milan,Atalanta,0,3,51,49,14,18,2,7,4,7,8,4,5,7,3,1,11,14,2,1,0,0,12,11,,,9,3,2,5,2,2,0,1,0,1,,,9,10,5,8,4,2,425,414,358,344,35,28,8,5,5,10,,,60,49,21,11,22,18,14,12,,
194,Torino,Fiorentina,1,1,52,48,15,8,3,1,8,4,4,3,7,2,1,5,20,15,2,2,0,2,13,19,,,7,15,4,2,3,1,2,1,0,1,,,11,5,4,3,0,2,396,384,322,304,20,26,8,5,11,11,,,54,52,13,10,17,12,9,13,,
200,Cagliari,Sassuolo,1,1,30,70,10,15,5,4,1,6,4,5,3,14,5,2,10,11,2,3,0,0,9,10,,,7,2,1,3,0,2,1,0,0,1,,,5,12,5,3,3,3,249,597,194,525,21,33,4,8,6,12,,,45,49,9,15,21,12,13,6,,
193,Parma,Sampdoria,0,2,51,49,11,11,6,3,4,5,1,3,5,5,1,0,14,14,1,1,0,0,14,14,,,7,9,0,3,0,1,3,0,,,,,5,7,6,4,1,5,479,453,402,378,47,29,3,3,13,14,,,57,59,17,13,13,18,14,16,,
196,Sampdoria,Juventus,0,2,39,61,6,9,1,3,2,3,3,3,5,8,2,4,11,10,4,2,0,0,10,11,,,5,4,1,3,1,1,,,0,2,,,3,4,3,5,1,1,397,669,330,608,29,38,3,2,7,11,,,48,47,13,12,19,14,9,19,,
201,Crotone,Genoa,0,3,56,44,13,11,4,4,6,5,3,2,3,11,1,9,15,22,3,1,0,0,22,12,,,11,7,0,3,0,2,1,0,,,,,6,9,7,2,1,4,478,370,379,277,30,27,2,8,10,13,,,54,48,7,9,15,14,9,22,,
203,Roma,Hellas Verona,3,1,49,51,15,8,6,1,5,2,4,5,4,5,2,6,15,11,2,1,0,0,11,15,,,8,7,3,1,2,0,,,1,0,,,12,5,3,3,0,3,471,492,368,391,21,21,2,3,7,13,,,44,61,13,18,14,16,20,10,,
204,Fiorentina,Inter,0,2,45,55,15,14,3,6,9,5,3,3,7,7,0,1,9,10,3,1,0,0,10,9,,,8,13,0,5,0,4,1,0,0,1,,,9,10,6,4,4,3,461,582,402,509,32,19,5,3,8,5,,,34,39,8,12,8,13,7,8,,
220,Sampdoria,Fiorentina,2,1,50,50,8,16,3,6,3,5,2,5,6,7,1,2,14,12,1,3,0,0,12,13,,,5,5,2,2,1,1,0,1,,,,,5,10,3,6,5,1,425,422,316,300,26,27,2,7,13,11,,,76,62,27,22,25,16,10,15,,
213,Lazio,Cagliari,1,0,63,37,14,7,6,2,3,4,5,1,12,2,2,2,16,14,2,2,0,0,12,15,,,4,11,1,2,0,2,,,,,,,11,6,3,1,2,5,530,322,452,237,44,25,8,2,10,6,,,49,63,20,21,7,21,13,12,,
219,Cagliari,Atalanta,0,1,36,64,4,10,1,2,1,5,2,3,6,6,0,2,17,14,3,3,0,0,13,17,,,9,2,,,,,1,1,,,,,2,7,2,3,1,1,365,645,240,522,24,21,0,4,6,13,,,52,73,15,23,19,20,13,15,,
207,Juventus,Roma,2,0,48,52,3,14,2,3,0,7,1,4,2,9,6,1,9,13,2,2,0,0,13,7,,,13,1,,,,,1,0,,,,,2,5,1,9,3,1,516,530,444,458,22,27,0,5,3,8,,,35,38,9,11,10,12,8,12,,
202,Napoli,Parma,2,0,48,52,10,5,3,1,4,3,3,1,7,6,0,3,15,17,2,4,0,0,16,12,,,4,4,2,1,1,1,1,0,,,,,4,4,6,1,1,1,466,511,381,433,31,42,3,7,9,13,,,44,47,5,12,14,10,12,12,,
209,Benevento,Sampdoria,1,1,36,64,12,13,3,5,4,2,5,6,2,10,1,3,17,15,4,2,0,0,15,15,,,6,4,2,2,2,1,,,1,0,,,8,11,4,2,4,2,269,465,172,381,27,49,3,8,7,7,,,57,44,23,16,12,6,10,10,,
217,Spezia,Milan,2,0,46,54,17,7,4,0,5,4,8,3,5,2,1,5,18,14,3,1,0,0,13,16,,,6,7,1,0,,,1,0,,,,,12,3,5,4,0,2,372,442,291,350,29,28,3,5,13,8,,,49,57,14,18,11,16,15,11,,
197,Inter,Benevento,4,0,62,38,12,0,6,0,5,0,1,0,7,3,3,1,9,14,0,2,0,0,13,9,,,4,9,3,0,1,0,1,0,1,0,,,8,0,4,0,0,3,624,401,567,329,23,20,4,1,8,3,,,45,25,6,4,18,9,13,11,,
214,Bologna,Benevento,1,1,59,41,12,14,2,6,5,3,5,5,8,3,2,1,17,10,3,2,0,0,9,17,,,5,6,3,0,2,0,0,1,,,,,7,9,5,5,5,1,491,352,410,247,27,16,4,2,13,2,,,38,48,9,14,7,15,11,10,,
216,Napoli,Juventus,1,0,38,62,8,24,2,6,2,13,4,5,3,9,1,6,9,18,2,3,0,0,18,9,,,14,5,1,3,0,3,,,0,1,,,5,15,3,9,6,1,368,599,285,531,21,23,2,10,7,12,,,44,49,7,14,12,14,8,13,,
199,Atalanta,Lazio,1,3,57,43,8,14,3,7,5,3,0,4,2,2,1,3,12,20,0,2,0,0,20,10,,,3,7,2,3,1,1,1,1,0,2,,,8,7,0,7,4,2,545,424,432,299,40,39,5,1,9,11,,,60,63,12,20,19,22,23,9,,
195,Bologna,Milan,1,2,48,52,11,15,5,10,4,2,2,3,6,4,2,4,13,12,2,1,0,0,11,12,,,4,12,4,5,3,3,0,1,0,1,,,5,12,6,3,8,4,423,469,337,379,23,25,2,2,16,9,,,58,65,15,24,15,20,7,11,,
206,Sassuolo,Spezia,1,2,54,46,8,13,4,6,2,3,2,4,5,5,4,3,20,15,2,3,0,0,15,20,,,4,4,2,3,1,2,0,1,0,1,,,4,10,4,3,3,3,434,365,343,271,21,28,2,4,8,8,,,51,65,13,19,15,18,11,9,,
208,Genoa,Napoli,2,1,34,66,4,26,2,9,1,10,1,7,1,6,2,0,13,11,2,2,0,0,10,13,,,11,1,2,4,0,4,0,2,,,,,4,12,0,14,8,0,343,664,251,581,31,48,0,7,14,14,,,54,54,14,12,16,15,13,13,,
221,Crotone,Sassuolo,1,2,37,63,6,23,4,4,1,8,1,11,7,8,1,5,15,17,1,1,0,0,17,14,,,8,6,1,4,0,3,,,3,0,,,3,11,3,12,2,3,332,586,253,506,29,22,2,2,8,7,,,55,48,18,13,12,14,13,6,,
218,Roma,Udinese,3,0,52,48,13,6,5,1,3,3,5,2,7,2,0,6,17,7,2,0,0,0,7,17,,,8,7,4,0,2,0,,,1,0,,,10,3,3,3,1,2,516,462,444,403,28,24,3,2,14,19,,,40,60,2,11,17,13,11,17,,
205,Atalanta,Torino,3,3,57,43,11,21,4,6,4,10,3,5,4,3,3,1,23,17,3,2,0,0,15,21,,,8,6,4,5,2,3,1,2,3,1,,,10,15,1,6,2,1,519,378,411,274,36,31,2,7,8,16,,,63,73,23,17,17,19,14,17,,
198,Spezia,Udinese,0,1,64,36,10,6,5,3,3,2,2,1,2,2,1,4,18,19,6,4,1,1,18,18,,,5,5,1,2,1,1,0,1,,,,,8,5,2,1,2,5,549,316,475,244,42,14,9,1,12,16,,,52,57,9,15,13,8,10,12,,
212,Parma,Bologna,0,3,57,43,15,15,5,5,4,6,6,4,5,1,0,2,13,13,2,1,0,0,12,12,,,6,8,1,3,1,2,,,0,2,,,6,8,9,7,2,5,548,416,448,330,39,20,4,3,11,15,,,49,52,10,11,16,14,23,19,,
222,Inter,Lazio,3,1,35,65,12,14,7,6,1,5,4,3,4,0,1,0,7,4,2,1,0,0,4,6,,,8,3,3,0,,,,,3,0,,,8,6,4,8,5,4,382,692,286,602,23,41,1,6,10,7,,,44,46,17,17,13,16,12,10,,
