number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Nantes,SM Caen,1,0,49,51,16,9,6,3,8,4,2,2,5,4,0,3,12,9,2,2,0,0,9,12,,,5,8,,,,,1,0,,,,,12,6,4,3,3,5,450,434,310,308,,,,,,,,,61,81,21,42,,,,,,
172,Angers SCO,Nantes,0,2,54,46,15,11,2,4,10,6,3,1,6,1,1,2,12,9,1,3,0,0,9,12,,,9,12,,,,,1,0,0,2,,,6,5,9,6,2,2,481,403,373,284,,,,,,,,,67,57,31,14,,,,,,
173,Guingamp,Paris Saint-Germain,2,1,26,74,11,15,2,7,7,3,2,5,4,7,1,5,18,16,,,0,0,14,17,,,7,11,,,,,0,1,2,0,,,6,10,5,5,5,0,251,731,174,639,,,,,,,,,43,59,19,19,,,,,,
164,Lille,Montpellier,2,1,44,56,12,17,4,6,6,5,2,6,1,3,2,0,17,13,1,1,0,0,12,15,,,5,9,,,,,1,0,,,,,6,8,6,9,5,2,444,526,345,421,,,,,,,,,61,74,25,29,,,,,,
180,Olympique Marseille,Lille,2,0,57,43,13,13,5,4,5,6,3,3,6,2,2,0,17,15,,,0,0,14,17,,,8,9,1,2,0,2,,,,,,,7,4,6,9,4,3,488,374,420,312,30,21,6,5,11,20,,,55,70,8,9,22,24,10,13,,
170,Paris Saint-Germain,Nice,2,2,60,40,21,5,9,3,10,2,2,0,9,0,4,0,17,10,2,3,0,0,10,16,,,3,12,4,1,2,0,,,,,,,14,2,7,3,1,7,635,435,568,361,33,23,10,1,8,11,,,50,55,10,6,23,22,12,17,,
181,AS Monaco,Olympique Lyon,1,3,55,45,13,17,4,10,4,4,5,3,6,9,4,3,20,20,4,2,1,0,17,19,,,6,7,,,,,,,,,,,8,10,5,7,7,2,367,299,277,221,,,,,,,,,81,70,26,17,,,,,,
188,Nantes,Montpellier,1,0,43,57,5,17,2,4,3,5,0,8,2,8,5,0,15,12,2,0,0,0,10,15,,,10,3,,,,,,,,,,,2,9,3,8,4,2,416,525,333,445,,,,,,,,,50,66,9,26,,,,,,
179,Nice,Dijon FCO,2,1,65,35,8,11,3,4,5,7,0,0,3,3,1,0,13,21,1,3,0,1,20,13,,,12,3,,,,,1,0,,,,,5,7,3,4,3,1,680,333,599,265,,,,,,,,,57,48,9,9,,,,,,
