round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
30,Paris Saint-Germain,Lorient,5,1,,,67,33,15,11,7,4,6,4,2,3,3,1,2,1,7,14,2,1,0,0,13,7,15,19,6,8,3,1,1,0,0,1,0,1,11,5,4,6,3,2,726,354,666,299,20,27,4,0,16,1,113,96,49,39,4,5,16,26,10,18,6,12
31,Lorient,Saint-Étienne,6,2,,,44,56,18,13,12,4,5,5,1,4,2,3,4,0,18,18,2,5,0,1,17,17,22,14,7,6,8,1,2,0,,,,,13,7,5,6,2,6,330,422,256,345,21,22,4,4,10,18,118,125,67,58,18,11,22,12,7,12,8,6
31,Stade de Reims,Stade Rennais,2,3,,,40,60,14,14,7,8,7,5,0,1,2,6,3,2,15,7,2,0,0,0,6,13,31,24,7,10,3,1,2,0,,,,,10,10,4,4,5,6,338,530,252,427,26,48,3,9,21,4,149,149,59,41,13,12,19,13,8,9,14,19
31,Clermont Foot,Paris Saint-Germain,1,6,,,36,64,10,17,4,10,4,7,2,0,2,5,4,4,8,7,1,1,0,0,7,8,14,14,10,5,1,5,,,0,1,0,1,6,13,4,4,4,3,395,714,337,668,28,21,4,2,3,11,98,91,31,41,3,7,18,15,9,6,6,13
31,Bordeaux,Metz,3,1,,,58,42,12,9,7,2,4,3,1,4,5,6,1,2,15,15,3,2,0,0,15,13,24,19,4,7,4,1,2,1,,,,,9,6,3,3,1,4,433,305,340,219,43,21,7,3,15,3,149,146,62,49,19,17,14,17,11,10,13,19
31,Angers,Lille,1,1,,,35,65,13,17,3,3,9,8,1,6,6,7,0,6,10,12,3,2,0,0,11,10,17,29,9,9,1,1,1,1,1,1,1,1,6,11,7,6,2,3,277,512,210,436,22,42,5,6,11,5,129,141,48,49,10,12,16,22,11,8,25,6
31,AS Monaco,Troyes,2,1,,,56,44,10,8,3,1,4,4,3,3,10,1,2,1,12,9,2,2,0,0,9,12,24,20,9,9,0,1,0,1,,,,,2,3,8,5,0,1,527,412,419,320,37,26,3,3,7,7,160,138,40,42,10,8,15,15,18,17,3,25
31,Stade Brestois,Nantes,1,1,,,52,48,12,11,6,4,3,5,3,2,4,5,2,1,10,13,1,3,0,0,12,9,28,26,4,7,2,0,1,0,,,,,9,10,3,1,3,5,459,421,358,311,35,14,6,9,6,12,176,163,52,63,13,14,21,28,10,10,10,21
31,RC Lens,Nice,3,0,,,43,57,6,16,3,6,1,5,2,5,1,7,2,0,8,15,2,4,1,2,15,7,11,23,13,4,1,2,0,2,,,,,2,9,4,7,6,0,363,465,289,412,22,24,0,9,4,9,110,119,54,48,13,15,22,17,9,8,31,4
31,RC Strasbourg,Olympique Lyonnais,1,1,,,42,58,15,13,4,3,7,5,4,5,5,3,2,1,19,14,3,1,0,0,13,18,20,20,7,8,2,3,1,2,0,1,0,1,9,7,6,6,2,3,346,499,264,424,27,27,7,4,7,11,127,133,58,61,18,14,20,18,6,9,13,16
31,Olympique de Marseille,Montpellier,2,0,,,61,39,11,6,5,2,5,1,1,3,0,8,1,2,12,13,0,2,0,1,13,12,24,24,5,7,4,1,2,1,1,0,1,0,6,3,5,3,2,3,592,345,521,270,29,22,1,2,4,6,117,143,44,37,9,6,18,13,17,10,21,7
32,Stade Rennais,AS Monaco,2,3,,,64,36,13,12,4,4,4,7,5,1,6,0,0,1,7,15,1,3,0,0,13,7,17,15,8,5,3,5,1,3,0,1,0,1,7,10,6,2,1,2,667,382,568,292,35,22,7,2,3,6,137,128,39,41,15,16,8,13,13,12,12,19
32,Saint-Étienne,Stade Brestois,2,1,,,38,62,11,7,4,3,4,4,3,0,7,3,2,2,10,10,0,2,0,0,9,10,26,37,9,10,3,1,1,1,1,0,1,0,6,6,5,1,2,2,294,474,204,376,24,39,2,5,9,11,154,165,54,66,16,23,21,22,12,8,17,11
32,Lille,RC Lens,1,2,,,56,44,17,11,5,7,9,3,3,1,13,7,,,12,9,3,2,0,0,8,12,17,12,2,13,1,1,1,1,,,,,9,8,8,3,5,4,547,455,473,381,32,31,6,3,8,8,142,122,46,54,10,17,20,17,9,16,8,28
32,Nice,Lorient,2,1,,,64,36,15,6,2,1,8,3,5,2,5,1,0,4,10,12,2,1,0,0,11,9,28,22,6,11,3,0,1,0,1,1,1,1,12,3,3,3,,,585,347,512,272,14,16,10,1,13,5,129,113,55,43,15,12,16,17,7,12,11,27
32,Metz,Clermont Foot,1,1,,,45,55,4,26,2,4,2,14,0,8,0,9,1,2,15,11,1,1,1,0,11,15,22,31,15,1,1,3,0,3,0,1,0,1,1,19,3,7,3,1,412,499,332,399,32,31,1,11,7,8,135,151,43,59,8,19,17,17,13,15,25,7
32,Montpellier,Stade de Reims,0,0,,,60,40,14,15,3,9,7,3,4,3,9,6,1,0,9,12,0,3,0,0,12,8,41,22,4,10,1,2,1,2,0,1,0,1,7,10,7,5,9,3,498,329,402,261,28,31,6,2,9,13,149,128,48,44,11,10,16,13,5,16,18,30
32,Nantes,Angers,1,1,,,60,40,24,10,7,3,11,6,6,1,14,5,1,0,12,10,4,1,0,0,9,12,41,16,4,12,6,2,5,1,0,1,0,1,17,5,7,5,2,6,497,338,426,270,30,17,13,2,9,10,135,116,51,59,16,17,17,21,4,14,12,33
