number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
5,1,2,0,3,58,42,15,16,2,5,7,7,6,4,5,6,3,3,0,0,0,2,0,0,16,7,,,11,10,,,,,,,0,2,,,5,9,10,8,3,2,444,321,346,234,,,,,,,,,72,62,22,26,,,,,,
43,1X,12,3,0,57,43,22,8,10,3,7,5,5,0,3,1,1,3,0,0,1,3,0,0,17,9,,,7,11,,,,,1,0,2,1,,,13,4,9,4,3,7,545,401,424,280,,,,,,,,,90,61,25,18,,,,,,
17,1X,12,1,2,69,31,15,13,6,4,8,7,1,2,3,0,2,5,0,0,2,1,0,0,11,11,,,10,11,,,,,0,2,1,6,,,9,11,6,2,2,5,786,346,688,262,,,,,,,,,76,60,23,21,,,,,,
24,1X,12,3,0,65,35,14,10,6,4,7,4,1,2,7,5,1,3,0,0,2,3,0,0,12,12,,,9,9,,,,,2,1,1,2,,,11,6,3,4,3,3,552,288,475,199,,,,,,,,,68,71,15,23,,,,,,
37,1X,12,1,0,40,60,11,9,5,2,4,3,2,4,2,2,3,1,0,0,0,3,0,0,15,10,,,5,5,,,,,,,1,0,,,8,4,3,5,2,4,449,684,368,597,,,,,,,,,66,61,22,21,,,,,,
33,1X,12,6,2,49,51,18,13,11,7,3,5,4,1,4,2,0,7,0,0,2,1,0,0,14,14,,,7,7,,,,,,,7,0,,,13,8,5,5,5,5,480,487,377,378,,,,,,,,,58,60,25,17,,,,,,
32,1X,12,2,1,50,50,9,11,4,3,3,6,2,2,5,7,2,3,0,0,0,3,0,0,21,18,,,10,9,,,,,,,,,,,7,8,2,3,2,2,427,410,312,308,,,,,,,,,78,86,28,31,,,,,,
56,1X,12,1,3,66,34,26,11,9,5,9,5,8,1,7,3,4,2,0,0,1,4,0,0,9,7,,,7,12,,,,,1,1,0,3,,,11,6,15,5,2,8,539,279,429,178,,,,,,,,,51,48,23,22,,,,,,
52,1X,12,1,3,57,43,8,19,3,12,5,5,0,2,3,7,3,5,0,0,3,3,0,0,17,15,,,9,9,,,,,1,0,2,2,,,5,9,3,10,9,2,478,351,342,238,,,,,,,,,80,66,32,30,,,,,,
62,1X,12,2,2,76,24,15,4,4,3,7,1,4,0,9,0,4,2,0,0,0,2,0,0,12,16,,,2,11,,,,,,,0,2,,,11,3,4,1,1,2,777,235,671,133,,,,,,,,,58,60,25,22,,,,,,
