number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
271,1,2,2,1,58,42,16,3,8,1,6,1,2,1,0,3,3,2,15,13,2,4,0,0,13,15,,,11,6,3,2,2,1,1,0,,,,,6,2,10,1,0,5,506,348,401,232,24,30,4,4,9,2,,,66,59,32,29,14,15,9,13,,
269,1,2,1,2,35,65,,,5,8,3,3,,,3,5,3,3,14,11,1,2,0,0,14,17,,,10,6,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,
284,1,2,0,4,40,60,,,3,8,5,6,,,2,5,2,0,10,9,1,1,0,0,9,12,,,6,8,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,
270,1,2,1,3,37,63,8,11,2,4,4,5,2,2,2,6,4,3,10,1,1,0,0,0,1,9,,,5,10,,,,,1,0,0,1,,,4,6,4,5,1,1,349,609,240,496,,,,,,,,,47,59,20,29,,,,,,
272,1,2,1,1,40,60,,,5,3,6,2,,,6,4,1,1,10,15,2,6,0,0,16,11,,,3,14,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,
274,1,2,2,0,70,30,,,9,2,6,1,,,10,3,4,3,12,3,0,1,0,0,6,16,,,4,9,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,,,,,,,,,,
273,1,2,1,0,65,35,,,2,4,10,2,,,10,2,,,11,10,0,2,0,0,10,11,,,4,14,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
292,1,2,0,1,42,58,12,9,3,6,5,1,4,2,4,9,1,7,13,9,,,0,0,8,13,,,4,7,,,,,,,0,1,,,10,7,2,2,4,3,360,494,260,403,,,,,,,,,53,55,21,15,,,,,,
275,1,2,0,1,35,65,,,3,5,3,4,,,4,1,1,7,7,13,1,2,0,0,20,8,,,9,11,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,
281,1,2,3,1,51,49,,,4,4,5,4,,,6,3,6,0,17,16,1,3,0,0,16,23,,,5,6,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,
267,1,2,2,1,48,52,,,5,2,5,8,,,3,0,3,6,8,15,1,3,0,0,21,11,,,9,7,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,
279,1,2,0,1,43,57,,,3,3,5,2,,,5,4,4,1,10,10,3,4,0,0,11,14,,,7,13,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,
287,1,2,1,1,57,43,,,7,6,5,3,,,9,2,1,4,9,11,3,3,0,0,15,10,,,9,8,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,
268,1,2,2,0,47,53,,,5,2,8,3,,,8,9,3,1,12,4,2,0,0,0,5,15,,,7,12,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,
301,1,2,4,1,48,52,16,13,10,2,4,9,2,2,6,5,4,3,7,9,1,2,0,1,9,7,,,11,8,,,,,1,1,,,,,10,6,6,7,1,6,479,509,400,421,,,,,,,,,57,55,9,8,,,,,,
282,1,2,3,0,58,42,,,9,1,5,4,,,7,5,3,3,10,9,1,1,0,0,12,13,,,10,6,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,
277,1,2,2,0,44,56,,,3,5,2,1,,,5,6,0,1,11,14,2,2,0,0,15,11,,,5,6,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,
285,1,2,1,0,43,57,,,5,2,4,3,,,7,5,1,3,7,17,1,2,0,0,20,7,,,9,7,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,
298,1,2,1,2,43,57,,,1,3,3,1,,,2,3,0,3,15,16,2,2,1,0,19,15,,,4,7,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
286,1,2,1,0,34,66,,,3,6,5,8,,,2,6,4,0,5,9,2,1,0,0,9,9,,,10,10,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,
291,1,2,3,0,77,23,43,3,16,0,15,3,12,0,9,2,2,3,6,5,,,0,1,5,6,,,2,17,,,,,2,1,,,,,23,3,20,0,0,13,761,221,707,147,,,,,,,,,43,34,11,7,,,,,,
280,1,2,2,0,65,35,,,8,1,6,3,,,6,5,,,8,15,0,1,0,0,15,8,,,4,10,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,
289,1,2,3,0,55,45,,,3,1,5,2,,,4,2,5,4,12,10,1,1,0,0,14,17,,,3,10,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
288,1,2,3,0,60,40,,,10,3,3,2,,,3,4,,,11,10,1,2,0,1,10,11,,,5,10,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,
266,1,2,1,0,36,64,,,2,2,2,9,,,2,3,2,1,9,18,2,1,0,0,19,11,,,13,7,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
296,1,2,4,3,68,32,,,3,4,4,5,,,4,4,1,2,8,7,2,1,0,0,9,9,,,7,6,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
293,1,2,1,2,46,54,,,5,4,3,1,,,9,4,3,5,11,8,,,0,0,13,14,,,2,6,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,
309,1,2,1,0,52,48,0,0,5,2,7,4,0,0,8,4,2,1,13,18,5,2,0,0,19,15,,,6,8,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,
290,1,2,0,1,46,54,10,16,3,5,3,8,4,3,4,5,1,0,13,16,0,3,0,0,14,13,,,7,6,,,,,0,1,1,1,,,2,6,8,10,4,3,483,566,395,479,,,,,,,,,52,57,11,6,,,,,,
300,1,2,1,2,55,45,,,4,3,7,2,,,1,3,4,5,11,12,2,1,0,0,17,15,,,4,11,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
283,1,2,0,0,61,39,,,5,3,7,3,,,7,5,,,8,15,0,5,0,1,15,8,,,11,15,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,
307,1,2,2,1,60,40,0,0,9,2,6,2,0,0,9,0,3,1,5,21,1,6,0,0,22,8,,,4,9,,,,,,,,,,,,,,,0,7,,,,,,,,,,,,,,,,,,,,,,
294,1,2,2,0,60,40,,,5,3,7,7,,,10,5,1,0,9,8,,,0,0,8,10,,,15,10,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,
278,1,2,3,2,59,41,,,6,5,3,1,,,6,4,2,5,14,9,1,0,0,0,14,16,,,3,8,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,
276,1,2,1,2,40,60,,,5,8,5,3,,,1,6,4,2,10,12,2,1,0,0,14,14,,,6,7,,,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,
295,1,2,1,2,56,44,17,12,4,3,8,6,5,3,8,4,,,15,14,3,4,0,0,13,15,,,10,14,,,,,0,1,0,1,,,10,9,7,3,1,3,426,331,317,225,,,,,,,,,69,60,32,23,,,,,,
297,1,2,1,0,53,47,15,7,4,3,4,3,7,1,6,4,1,1,14,11,0,1,0,0,11,14,,,7,9,,,,,,,1,0,,,11,4,4,3,3,3,365,330,274,212,,,,,,,,,51,59,29,19,,,,,,
315,1,2,2,3,44,56,,,5,4,2,5,,,4,6,1,3,13,14,2,2,0,0,17,14,,,10,5,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,
310,1,2,2,1,33,67,0,0,2,7,1,10,0,0,4,13,2,0,11,11,2,1,0,0,11,13,,,13,4,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,
299,1,2,2,3,41,59,,,8,3,9,2,,,6,6,5,1,13,11,0,2,0,0,12,18,,,3,10,,,,,,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,
304,1,2,3,1,74,26,0,0,8,2,5,2,0,0,10,2,0,2,15,12,0,1,0,0,14,15,,,6,11,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,
302,1,2,1,0,46,54,0,0,1,3,5,7,0,0,4,10,0,2,12,17,0,1,0,0,19,12,,,11,7,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,
312,1,2,2,0,59,41,,,4,2,2,7,,,2,5,2,0,7,10,2,0,0,0,10,9,,,12,4,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
308,1,2,0,0,43,57,0,0,5,3,6,7,0,0,5,3,3,4,9,4,2,0,0,0,8,12,,,7,13,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,
311,1,2,1,1,49,51,,,3,8,3,2,,,3,6,2,1,18,11,3,3,0,0,12,20,,,4,8,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,
313,1,2,1,4,53,47,12,14,3,5,5,3,4,6,8,4,,,15,17,2,2,0,0,16,15,,,7,8,,,,,1,0,0,2,,,7,10,5,4,1,2,405,355,304,249,,,,,,,,,70,64,16,12,,,,,,
303,1,2,2,1,51,49,0,0,6,7,7,5,0,0,7,6,3,1,11,9,0,4,0,0,10,14,,,9,16,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,
305,1,2,3,1,60,40,0,0,3,2,4,3,0,0,4,7,2,0,10,14,1,5,0,1,14,12,,,6,5,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,
